chrom	start	end	value
chr1	12400000	13399999	0.64957
chr1	12600000	13599999	0.685609
chr1	12800000	13799999	0.706183
chr1	13000000	13999999	0.750403
chr1	13200000	14199999	0.766468
chr1	13400000	14399999	0.752839
chr1	13600000	14599999	0.738196
chr1	13800000	14799999	0.725044
chr1	14000000	14999999	0.713543
chr1	14200000	15199999	0.699744
chr1	14400000	15399999	0.737519
chr1	14600000	15599999	0.740741
chr1	14800000	15799999	0.738935
chr1	15000000	15999999	0.749491
chr1	15200000	16199999	0.786327
chr1	15400000	16399999	0.767342
chr1	15600000	16599999	0.761729
chr1	15800000	16799999	0.776066
chr1	16000000	16999999	0.748838
chr1	16200000	17199999	0.739358
chr1	16400000	17399999	0.737485
chr1	16600000	17599999	0.717833
chr1	16800000	17799999	0.683289
chr1	17000000	17999999	0.695427
chr1	17200000	18199999	0.685692
chr1	17400000	18399999	0.708857
chr1	17600000	18599999	0.737875
chr1	17800000	18799999	0.778862
chr1	18000000	18999999	0.73242
chr1	18200000	19199999	0.75595
chr1	18400000	19399999	0.746904
chr1	18600000	19599999	0.711942
chr1	18800000	19799999	0.703143
chr1	19000000	19999999	0.739616
chr1	19200000	20199999	0.730189
chr1	19400000	20399999	0.738521
chr1	19600000	20599999	0.767266
chr1	19800000	20799999	0.787916
chr1	20000000	20999999	0.81202
chr1	20200000	21199999	0.823337
chr1	20400000	21399999	0.821545
chr1	20600000	21599999	0.805123
chr1	20800000	21799999	0.750476
chr1	21000000	21999999	0.713171
chr1	21200000	22199999	0.720626
chr1	21400000	22399999	0.716386
chr1	21600000	22599999	0.734257
chr1	21800000	22799999	0.740325
chr1	22000000	22999999	0.759499
chr1	22200000	23199999	0.744899
chr1	22400000	23399999	0.717505
chr1	22600000	23599999	0.729519
chr1	22800000	23799999	0.731676
chr1	23000000	23999999	0.728897
chr1	23200000	24199999	0.748924
chr1	23400000	24399999	0.751415
chr1	23600000	24599999	0.776288
chr1	23800000	24799999	0.76404
chr1	24000000	24999999	0.753249
chr1	24200000	25199999	0.755822
chr1	24400000	25399999	0.754799
chr1	24600000	25599999	0.720952
chr1	24800000	25799999	0.735356
chr1	25000000	25999999	0.746462
chr1	25200000	26199999	0.739939
chr1	25400000	26399999	0.755828
chr1	25600000	26599999	0.732076
chr1	25800000	26799999	0.755873
chr1	26000000	26999999	0.764872
chr1	26200000	27199999	0.742994
chr1	26400000	27399999	0.711849
chr1	26600000	27599999	0.74117
chr1	26800000	27799999	0.73246
chr1	27000000	27999999	0.700612
chr1	27200000	28199999	0.723153
chr1	27400000	28399999	0.755333
chr1	27600000	28599999	0.726105
chr1	27800000	28799999	0.710792
chr1	28000000	28999999	0.734682
chr1	28200000	29199999	0.714406
chr1	28400000	29399999	0.693973
chr1	28600000	29599999	0.745498
chr1	28800000	29799999	0.739194
chr1	29000000	29999999	0.741363
chr1	29200000	30199999	0.746747
chr1	29400000	30399999	0.746971
chr1	29600000	30599999	0.724977
chr1	29800000	30799999	0.747032
chr1	30000000	30999999	0.731807
chr1	30200000	31199999	0.721891
chr1	30400000	31399999	0.749562
chr1	30600000	31599999	0.768296
chr1	30800000	31799999	0.783361
chr1	31000000	31999999	0.774848
chr1	31200000	32199999	0.770995
chr1	31400000	32399999	0.759291
chr1	31600000	32599999	0.744484
chr1	31800000	32799999	0.735506
chr1	32000000	32999999	0.747352
chr1	32200000	33199999	0.782489
chr1	32400000	33399999	0.781506
chr1	32600000	33599999	0.766523
chr1	32800000	33799999	0.749226
chr1	33000000	33999999	0.764143
chr1	33200000	34199999	0.771269
chr1	33400000	34399999	0.744741
chr1	33600000	34599999	0.773446
chr1	33800000	34799999	0.779863
chr1	34000000	34999999	0.775376
chr1	34200000	35199999	0.736008
chr1	34400000	35399999	0.770768
chr1	34600000	35599999	0.766916
chr1	34800000	35799999	0.776848
chr1	35000000	35999999	0.752441
chr1	35200000	36199999	0.776475
chr1	35400000	36399999	0.762877
chr1	35600000	36599999	0.75861
chr1	35800000	36799999	0.782844
chr1	36000000	36999999	0.783959
chr1	36200000	37199999	0.784045
chr1	36400000	37399999	0.806188
chr1	36600000	37599999	0.801496
chr1	36800000	37799999	0.742515
chr1	37000000	37999999	0.766363
chr1	37200000	38199999	0.736786
chr1	37400000	38399999	0.705647
chr1	37600000	38599999	0.728249
chr1	37800000	38799999	0.751961
chr1	38000000	38999999	0.75859
chr1	38200000	39199999	0.748107
chr1	38400000	39399999	0.790464
chr1	38600000	39599999	0.771972
chr1	38800000	39799999	0.782543
chr1	39000000	39999999	0.73755
chr1	39200000	40199999	0.763496
chr1	39400000	40399999	0.710895
chr1	39600000	40599999	0.703437
chr1	39800000	40799999	0.686125
chr1	40000000	40999999	0.726059
chr1	40200000	41199999	0.714248
chr1	40400000	41399999	0.702005
chr1	40600000	41599999	0.72061
chr1	40800000	41799999	0.731528
chr1	41000000	41999999	0.766104
chr1	41200000	42199999	0.753266
chr1	41400000	42399999	0.793312
chr1	41600000	42599999	0.802156
chr1	41800000	42799999	0.820392
chr1	42000000	42999999	0.792094
chr1	42200000	43199999	0.833305
chr1	42400000	43399999	0.807548
chr1	42600000	43599999	0.758927
chr1	42800000	43799999	0.79833
chr1	43000000	43999999	0.777573
chr1	43200000	44199999	0.785717
chr1	43400000	44399999	0.81807
chr1	43600000	44599999	0.814914
chr1	43800000	44799999	0.780275
chr1	44000000	44999999	0.8027
chr1	44200000	45199999	0.766322
chr1	44400000	45399999	0.755886
chr1	44600000	45599999	0.783765
chr1	44800000	45799999	0.768414
chr1	45000000	45999999	0.744906
chr1	45200000	46199999	0.754158
chr1	45400000	46399999	0.745472
chr1	45600000	46599999	0.742484
chr1	45800000	46799999	0.73999
chr1	46000000	46999999	0.744543
chr1	46200000	47199999	0.775665
chr1	46400000	47399999	0.79328
chr1	46600000	47599999	0.781711
chr1	46800000	47799999	0.790899
chr1	47000000	47999999	0.801757
chr1	47200000	48199999	0.767995
chr1	47400000	48399999	0.721406
chr1	47600000	48599999	0.742144
chr1	47800000	48799999	0.718509
chr1	48000000	48999999	0.731661
chr1	48200000	49199999	0.71477
chr1	48400000	49399999	0.744136
chr1	48600000	49599999	0.730564
chr1	48800000	49799999	0.765742
chr1	49000000	49999999	0.739628
chr1	49200000	50199999	0.760175
chr1	49400000	50399999	0.808005
chr1	49600000	50599999	0.820312
chr1	49800000	50799999	0.797167
chr1	50000000	50999999	0.842382
chr1	50200000	51199999	0.844746
chr1	50400000	51399999	0.833588
chr1	50600000	51599999	0.796608
chr1	50800000	51799999	0.809166
chr1	51000000	51999999	0.786468
chr1	51200000	52199999	0.786438
chr1	51400000	52399999	0.781894
chr1	51600000	52599999	0.779574
chr1	51800000	52799999	0.772389
chr1	52000000	52999999	0.75245
chr1	52200000	53199999	0.745547
chr1	52400000	53399999	0.694666
chr1	52600000	53599999	0.747171
chr1	52800000	53799999	0.744607
chr1	53000000	53999999	0.744459
chr1	53200000	54199999	0.767079
chr1	53400000	54399999	0.80805
chr1	53600000	54599999	0.778517
chr1	53800000	54799999	0.786716
chr1	54000000	54999999	0.803047
chr1	54200000	55199999	0.787904
chr1	54400000	55399999	0.780415
chr1	54600000	55599999	0.788363
chr1	54800000	55799999	0.785244
chr1	55000000	55999999	0.793146
chr1	55200000	56199999	0.799837
chr1	55400000	56399999	0.789043
chr1	55600000	56599999	0.806365
chr1	55800000	56799999	0.792039
chr1	56000000	56999999	0.730834
chr1	56200000	57199999	0.742569
chr1	56400000	57399999	0.731092
chr1	56600000	57599999	0.749896
chr1	56800000	57799999	0.776225
chr1	57000000	57999999	0.829212
chr1	57200000	58199999	0.827841
chr1	57400000	58399999	0.868233
chr1	57600000	58599999	0.83045
chr1	57800000	58799999	0.810273
chr1	58000000	58999999	0.840492
chr1	58200000	59199999	0.814441
chr1	58400000	59399999	0.80245
chr1	58600000	59599999	0.81558
chr1	58800000	59799999	0.845068
chr1	59000000	59999999	0.81045
chr1	59200000	60199999	0.774834
chr1	59400000	60399999	0.775616
chr1	59600000	60599999	0.771714
chr1	59800000	60799999	0.741373
chr1	60000000	60999999	0.736424
chr1	60200000	61199999	0.789597
chr1	60400000	61399999	0.807105
chr1	60600000	61599999	0.817192
chr1	60800000	61799999	0.800637
chr1	61000000	61999999	0.836629
chr1	61200000	62199999	0.828679
chr1	61400000	62399999	0.791387
chr1	61600000	62599999	0.739744
chr1	61800000	62799999	0.77832
chr1	62000000	62999999	0.771449
chr1	62200000	63199999	0.729337
chr1	62400000	63399999	0.762184
chr1	62600000	63599999	0.795646
chr1	62800000	63799999	0.756703
chr1	63000000	63999999	0.7376
chr1	63200000	64199999	0.774013
chr1	63400000	64399999	0.72778
chr1	63600000	64599999	0.779252
chr1	63800000	64799999	0.755104
chr1	64000000	64999999	0.754911
chr1	64200000	65199999	0.754806
chr1	64400000	65399999	0.793261
chr1	64600000	65599999	0.766162
chr1	64800000	65799999	0.806683
chr1	65000000	65999999	0.810185
chr1	65200000	66199999	0.806411
chr1	65400000	66399999	0.794232
chr1	65600000	66599999	0.790283
chr1	65800000	66799999	0.799659
chr1	66000000	66999999	0.805712
chr1	66200000	67199999	0.818162
chr1	66400000	67399999	0.816399
chr1	66600000	67599999	0.805888
chr1	66800000	67799999	0.817895
chr1	67000000	67999999	0.793199
chr1	67200000	68199999	0.808839
chr1	67400000	68399999	0.806399
chr1	67600000	68599999	0.79109
chr1	67800000	68799999	0.79237
chr1	68000000	68999999	0.813278
chr1	68200000	69199999	0.783183
chr1	68400000	69399999	0.818588
chr1	68600000	69599999	0.806347
chr1	68800000	69799999	0.811391
chr1	69000000	69999999	0.789462
chr1	69200000	70199999	0.802785
chr1	69400000	70399999	0.777579
chr1	69600000	70599999	0.817785
chr1	69800000	70799999	0.825097
chr1	70000000	70999999	0.819635
chr1	70200000	71199999	0.829023
chr1	70400000	71399999	0.830641
chr1	70600000	71599999	0.798725
chr1	70800000	71799999	0.769139
chr1	71000000	71999999	0.807329
chr1	71200000	72199999	0.825663
chr1	71400000	72399999	0.835264
chr1	71600000	72599999	0.867135
chr1	71800000	72799999	0.87161
chr1	72000000	72999999	0.877613
chr1	72200000	73199999	0.824024
chr1	72400000	73399999	0.814022
chr1	72600000	73599999	0.787635
chr1	72800000	73799999	0.797259
chr1	73000000	73999999	0.781855
chr1	73200000	74199999	0.802433
chr1	73400000	74399999	0.822013
chr1	73600000	74599999	0.804718
chr1	73800000	74799999	0.791703
chr1	74000000	74999999	0.813177
chr1	74200000	75199999	0.829861
chr1	74400000	75399999	0.748256
chr1	74600000	75599999	0.820611
chr1	74800000	75799999	0.841367
chr1	75000000	75999999	0.803688
chr1	75200000	76199999	0.804555
chr1	75400000	76399999	0.849251
chr1	75600000	76599999	0.858034
chr1	75800000	76799999	0.814041
chr1	76000000	76999999	0.841805
chr1	76200000	77199999	0.857446
chr1	76400000	77399999	0.874003
chr1	76600000	77599999	0.825955
chr1	76800000	77799999	0.893517
chr1	77000000	77999999	0.85786
chr1	77200000	78199999	0.797803
chr1	77400000	78399999	0.788022
chr1	77600000	78599999	0.768634
chr1	77800000	78799999	0.763231
chr1	78000000	78999999	0.765964
chr1	78200000	79199999	0.814393
chr1	78400000	79399999	0.822607
chr1	78600000	79599999	0.789128
chr1	78800000	79799999	0.777015
chr1	79000000	79999999	0.785253
chr1	79200000	80199999	0.756837
chr1	79400000	80399999	0.723543
chr1	79600000	80599999	0.805228
chr1	79800000	80799999	0.803168
chr1	80000000	80999999	0.790463
chr1	80200000	81199999	0.837071
chr1	80400000	81399999	0.855964
chr1	80600000	81599999	0.824773
chr1	80800000	81799999	0.806281
chr1	81000000	81999999	0.847519
chr1	81200000	82199999	0.807998
chr1	81400000	82399999	0.836961
chr1	81600000	82599999	0.832945
chr1	81800000	82799999	0.849283
chr1	82000000	82999999	0.841621
chr1	82200000	83199999	0.842003
chr1	82400000	83399999	0.804936
chr1	82600000	83599999	0.798268
chr1	82800000	83799999	0.810818
chr1	83000000	83999999	0.774652
chr1	83200000	84199999	0.773109
chr1	83400000	84399999	0.827724
chr1	83600000	84599999	0.831285
chr1	83800000	84799999	0.776843
chr1	84000000	84999999	0.843446
chr1	84200000	85199999	0.839322
chr1	84400000	85399999	0.820652
chr1	84600000	85599999	0.838907
chr1	84800000	85799999	0.880862
chr1	85000000	85999999	0.835558
chr1	85200000	86199999	0.857389
chr1	85400000	86399999	0.841761
chr1	85600000	86599999	0.828377
chr1	85800000	86799999	0.806342
chr1	86000000	86999999	0.827261
chr1	86200000	87199999	0.832938
chr1	86400000	87399999	0.811209
chr1	86600000	87599999	0.840834
chr1	86800000	87799999	0.865507
chr1	87000000	87999999	0.849647
chr1	87200000	88199999	0.838024
chr1	87400000	88399999	0.876533
chr1	87600000	88599999	0.846136
chr1	87800000	88799999	0.798851
chr1	88000000	88999999	0.826453
chr1	88200000	89199999	0.854622
chr1	88400000	89399999	0.829274
chr1	88600000	89599999	0.815095
chr1	88800000	89799999	0.855463
chr1	89000000	89999999	0.823689
chr1	89200000	90199999	0.787117
chr1	89400000	90399999	0.801832
chr1	89600000	90599999	0.817238
chr1	89800000	90799999	0.805803
chr1	90000000	90999999	0.762383
chr1	90200000	91199999	0.792511
chr1	90400000	91399999	0.787702
chr1	90600000	91599999	0.791488
chr1	90800000	91799999	0.795237
chr1	91000000	91999999	0.857098
chr1	91200000	92199999	0.849291
chr1	91400000	92399999	0.827944
chr1	91600000	92599999	0.849612
chr1	91800000	92799999	0.839627
chr1	92000000	92999999	0.853633
chr1	92200000	93199999	0.835679
chr1	92400000	93399999	0.852753
chr1	92600000	93599999	0.849302
chr1	92800000	93799999	0.854046
chr1	93000000	93999999	0.832498
chr1	93200000	94199999	0.816873
chr1	93400000	94399999	0.82768
chr1	93600000	94599999	0.816358
chr1	93800000	94799999	0.819956
chr1	94000000	94999999	0.801758
chr1	94200000	95199999	0.801649
chr1	94400000	95399999	0.831021
chr1	94600000	95599999	0.814714
chr1	94800000	95799999	0.838307
chr1	95000000	95999999	0.852246
chr1	95200000	96199999	0.87041
chr1	95400000	96399999	0.865535
chr1	95600000	96599999	0.881341
chr1	95800000	96799999	0.857665
chr1	96000000	96999999	0.869226
chr1	96200000	97199999	0.877907
chr1	96400000	97399999	0.831499
chr1	96600000	97599999	0.834602
chr1	96800000	97799999	0.853906
chr1	97000000	97999999	0.856552
chr1	97200000	98199999	0.839984
chr1	97400000	98399999	0.881433
chr1	97600000	98599999	0.828305
chr1	97800000	98799999	0.839872
chr1	98000000	98999999	0.806277
chr1	98200000	99199999	0.810108
chr1	98400000	99399999	0.810222
chr1	98600000	99599999	0.831679
chr1	98800000	99799999	0.79466
chr1	99000000	99999999	0.834681
chr1	99200000	100199999	0.853931
chr1	99400000	100399999	0.838857
chr1	99600000	100599999	0.876098
chr1	99800000	100799999	0.861434
chr1	100000000	100999999	0.8399
chr1	100200000	101199999	0.834933
chr1	100400000	101399999	0.824595
chr1	100600000	101599999	0.825856
chr1	100800000	101799999	0.849765
chr1	101000000	101999999	0.852431
chr1	101200000	102199999	0.846557
chr1	101400000	102399999	0.83815
chr1	101600000	102599999	0.852998
chr1	101800000	102799999	0.853678
chr1	102000000	102999999	0.870928
chr1	102200000	103199999	0.878281
chr1	102400000	103399999	0.884399
chr1	102600000	103599999	0.847303
chr1	102800000	103799999	0.862007
chr1	103000000	103999999	0.846721
chr1	103200000	104199999	0.837914
chr1	103400000	104399999	0.85238
chr1	103600000	104599999	0.857684
chr1	103800000	104799999	0.837915
chr1	104000000	104999999	0.807377
chr1	104200000	105199999	0.827949
chr1	104400000	105399999	0.832987
chr1	104600000	105599999	0.85073
chr1	104800000	105799999	0.847203
chr1	105000000	105999999	0.87146
chr1	105200000	106199999	0.827622
chr1	105400000	106399999	0.817763
chr1	105600000	106599999	0.805976
chr1	105800000	106799999	0.812852
chr1	106000000	106999999	0.831645
chr1	106200000	107199999	0.859313
chr1	106400000	107399999	0.892825
chr1	106600000	107599999	0.884881
chr1	106800000	107799999	0.907716
chr1	107000000	107999999	0.906919
chr1	107200000	108199999	0.9213
chr1	107400000	108399999	0.886813
chr1	107600000	108599999	0.891479
chr1	107800000	108799999	0.8794
chr1	108000000	108999999	0.875767
chr1	108200000	109199999	0.85541
chr1	108400000	109399999	0.826717
chr1	108600000	109599999	0.858383
chr1	108800000	109799999	0.812482
chr1	109000000	109999999	0.821374
chr1	109200000	110199999	0.819512
chr1	109400000	110399999	0.855641
chr1	109600000	110599999	0.8362
chr1	109800000	110799999	0.872715
chr1	110000000	110999999	0.856338
chr1	110200000	111199999	0.867073
chr1	110400000	111399999	0.858402
chr1	110600000	111599999	0.841531
chr1	110800000	111799999	0.83199
chr1	111000000	111999999	0.811268
chr1	111200000	112199999	0.829878
chr1	111400000	112399999	0.823955
chr1	111600000	112599999	0.836937
chr1	111800000	112799999	0.825108
chr1	112000000	112999999	0.865705
chr1	112200000	113199999	0.849119
chr1	112400000	113399999	0.87801
chr1	112600000	113599999	0.885996
chr1	112800000	113799999	0.917063
chr1	113000000	113999999	0.879508
chr1	113200000	114199999	0.8779
chr1	113400000	114399999	0.868116
chr1	113600000	114599999	0.8439
chr1	113800000	114799999	0.864719
chr1	114000000	114999999	0.858051
chr1	114200000	115199999	0.860076
chr1	114400000	115399999	0.834272
chr1	114600000	115599999	0.824584
chr1	114800000	115799999	0.797874
chr1	115000000	115999999	0.814843
chr1	115200000	116199999	0.846227
chr1	115400000	116399999	0.879602
chr1	115600000	116599999	0.887852
chr1	115800000	116799999	0.908302
chr1	116000000	116999999	0.904143
chr1	116200000	117199999	0.835779
chr1	116400000	117399999	0.863135
chr1	116600000	117599999	0.895474
chr1	116800000	117799999	0.883617
chr1	117000000	117999999	0.860316
chr1	117200000	118199999	0.877693
chr1	117400000	118399999	0.822795
chr1	117600000	118599999	0.802014
chr1	117800000	118799999	0.808337
chr1	118000000	118999999	0.835312
chr1	118200000	119199999	0.832668
chr1	118400000	119399999	0.855796
chr1	118600000	119599999	0.866528
chr1	118800000	119799999	0.871582
chr1	119000000	119999999	0.879531
chr1	119200000	120199999	0.899888
chr1	119400000	120399999	0.859098
chr1	119600000	120599999	0.863592
chr1	119800000	120799999	0.850344
chr1	120000000	120999999	0.855046
chr1	120200000	121199999	0.852132
chr1	120400000	121399999	0.844877
chr1	120600000	121599999	0.8518
chr1	120800000	121799999	0.846836
chr1	121000000	121999999	0.847547
chr1	121200000	122199999	0.850227
chr1	121400000	122399999	0.893785
chr1	121600000	122599999	0.907378
chr1	121800000	122799999	0.894438
chr1	122000000	122999999	0.881781
chr1	122200000	123199999	0.891073
chr1	122400000	123399999	0.895843
chr1	122600000	123599999	0.845299
chr1	122800000	123799999	0.881934
chr1	123000000	123999999	0.894715
chr1	123200000	124199999	0.866946
chr1	123400000	124399999	0.864833
chr1	123600000	124599999	0.88908
chr1	123800000	124799999	0.860642
chr1	124000000	124999999	0.874047
chr1	124200000	125199999	0.88124
chr1	124400000	125399999	0.865379
chr1	124600000	125599999	0.873987
chr1	124800000	125799999	0.88373
chr1	125000000	125999999	0.817699
chr1	125200000	126199999	0.845599
chr1	125400000	126399999	0.866729
chr1	125600000	126599999	0.861989
chr1	125800000	126799999	0.867076
chr1	126000000	126999999	0.911081
chr1	126200000	127199999	0.890503
chr1	126400000	127399999	0.894363
chr1	126600000	127599999	0.894588
chr1	126800000	127799999	0.897424
chr1	127000000	127999999	0.879352
chr1	127200000	128199999	0.887838
chr1	127400000	128399999	0.893504
chr1	127600000	128599999	0.871886
chr1	127800000	128799999	0.870855
chr1	128000000	128999999	0.869463
chr1	128200000	129199999	0.877906
chr1	128400000	129399999	0.866473
chr1	128600000	129599999	0.863164
chr1	128800000	129799999	0.846392
chr1	129000000	129999999	0.845044
chr1	129200000	130199999	0.859253
chr1	129400000	130399999	0.853465
chr1	129600000	130599999	0.873248
chr1	129800000	130799999	0.892362
chr1	130000000	130999999	0.938388
chr1	130200000	131199999	0.896697
chr1	130400000	131399999	0.919828
chr1	130600000	131599999	0.913421
chr1	130800000	131799999	0.888111
chr1	131000000	131999999	0.877456
chr1	131200000	132199999	0.888193
chr1	131400000	132399999	0.874475
chr1	131600000	132599999	0.897541
chr1	131800000	132799999	0.934912
chr1	132000000	132999999	0.937982
chr1	132200000	133199999	0.918983
chr1	132400000	133399999	0.891361
chr1	132600000	133599999	0.890297
chr1	132800000	133799999	0.880137
chr1	133000000	133999999	0.881313
chr1	133200000	134199999	0.917269
chr1	133400000	134399999	0.940423
chr1	133600000	134599999	0.929654
chr1	133800000	134799999	0.926753
chr1	134000000	134999999	0.920902
chr1	134200000	135199999	0.912029
chr1	134400000	135399999	0.917196
chr1	134600000	135599999	0.915133
chr1	134800000	135799999	0.912663
chr1	135000000	135999999	0.901357
chr1	135200000	136199999	0.897362
chr1	135400000	136399999	0.869353
chr1	135600000	136599999	0.902135
chr1	135800000	136799999	0.866216
chr1	136000000	136999999	0.861497
chr1	136200000	137199999	0.877688
chr1	136400000	137399999	0.89287
chr1	136600000	137599999	0.858624
chr1	136800000	137799999	0.893892
chr1	137000000	137999999	0.897107
chr1	137200000	138199999	0.892554
chr1	137400000	138399999	0.871097
chr1	137600000	138599999	0.871875
chr1	137800000	138799999	0.860196
chr1	138000000	138999999	0.848002
chr1	138200000	139199999	0.846621
chr1	138400000	139399999	0.856822
chr1	138600000	139599999	0.879398
chr1	138800000	139799999	0.86617
chr1	139000000	139999999	0.878423
chr1	139200000	140199999	0.848919
chr1	139400000	140399999	0.859372
chr1	139600000	140599999	0.842951
chr1	139800000	140799999	0.813197
chr1	140000000	140999999	0.837954
chr1	140200000	141199999	0.834381
chr1	140400000	141399999	0.845675
chr1	140600000	141599999	0.829893
chr1	140800000	141799999	0.868673
chr1	141000000	141999999	0.848738
chr1	141200000	142199999	0.884906
chr1	141400000	142399999	0.885227
chr1	141600000	142599999	0.88927
chr1	141800000	142799999	0.909237
chr1	142000000	142999999	0.883768
chr1	142200000	143199999	0.879034
chr1	142400000	143399999	0.850807
chr1	142600000	143599999	0.8658
chr1	142800000	143799999	0.854726
chr1	143000000	143999999	0.862855
chr1	143200000	144199999	0.871685
chr1	143400000	144399999	0.881444
chr1	143600000	144599999	0.872828
chr1	143800000	144799999	0.845934
chr1	144000000	144999999	0.880351
chr1	144200000	145199999	0.832204
chr1	144400000	145399999	0.862661
chr1	144600000	145599999	0.855265
chr1	144800000	145799999	0.874582
chr1	145000000	145999999	0.843895
chr1	145200000	146199999	0.841101
chr1	145400000	146399999	0.823968
chr1	145600000	146599999	0.835044
chr1	145800000	146799999	0.850627
chr1	146000000	146999999	0.827783
chr1	146200000	147199999	0.853156
chr1	146400000	147399999	0.83455
chr1	146600000	147599999	0.829292
chr1	146800000	147799999	0.757459
chr1	147000000	147999999	0.805321
chr1	147200000	148199999	0.803125
chr1	147400000	148399999	0.826043
chr1	147600000	148599999	0.822554
chr1	147800000	148799999	0.865477
chr1	148000000	148999999	0.841121
chr1	148200000	149199999	0.854071
chr1	148400000	149399999	0.806864
chr1	148600000	149599999	0.821369
chr1	148800000	149799999	0.83396
chr1	149000000	149999999	0.865324
chr1	149200000	150199999	0.849774
chr1	149400000	150399999	0.871947
chr1	149600000	150599999	0.823866
chr1	149800000	150799999	0.834889
chr1	150000000	150999999	0.810343
chr1	150200000	151199999	0.798729
chr1	150400000	151399999	0.836849
chr1	150600000	151599999	0.869809
chr1	150800000	151799999	0.871928
chr1	151000000	151999999	0.866043
chr1	151200000	152199999	0.883175
chr1	151400000	152399999	0.840134
chr1	151600000	152599999	0.836574
chr1	151800000	152799999	0.844093
chr1	152000000	152999999	0.856094
chr1	152200000	153199999	0.848045
chr1	152400000	153399999	0.856737
chr1	152600000	153599999	0.894413
chr1	152800000	153799999	0.844023
chr1	153000000	153999999	0.855281
chr1	153200000	154199999	0.861916
chr1	153400000	154399999	0.87653
chr1	153600000	154599999	0.843335
chr1	153800000	154799999	0.887603
chr1	154000000	154999999	0.853353
chr1	154200000	155199999	0.85313
chr1	154400000	155399999	0.868818
chr1	154600000	155599999	0.862936
chr1	154800000	155799999	0.848649
chr1	155000000	155999999	0.876249
chr1	155200000	156199999	0.863914
chr1	155400000	156399999	0.811319
chr1	155600000	156599999	0.812653
chr1	155800000	156799999	0.821007
chr1	156000000	156999999	0.835523
chr1	156200000	157199999	0.832798
chr1	156400000	157399999	0.83615
chr1	156600000	157599999	0.832317
chr1	156800000	157799999	0.85015
chr1	157000000	157999999	0.813879
chr1	157200000	158199999	0.829409
chr1	157400000	158399999	0.851217
chr1	157600000	158599999	0.846516
chr1	157800000	158799999	0.813558
chr1	158000000	158999999	0.837863
chr1	158200000	159199999	0.869514
chr1	158400000	159399999	0.872342
chr1	158600000	159599999	0.873365
chr1	158800000	159799999	0.906892
chr1	159000000	159999999	0.885169
chr1	159200000	160199999	0.815554
chr1	159400000	160399999	0.803855
chr1	159600000	160599999	0.80213
chr1	159800000	160799999	0.74096
chr1	160000000	160999999	0.725952
chr1	160200000	161199999	0.754748
chr1	160400000	161399999	0.789002
chr1	160600000	161599999	0.788658
chr1	160800000	161799999	0.81468
chr1	161000000	161999999	0.836129
chr1	161200000	162199999	0.85563
chr1	161400000	162399999	0.809793
chr1	161600000	162599999	0.809373
chr1	161800000	162799999	0.819088
chr1	162000000	162999999	0.830338
chr1	162200000	163199999	0.752801
chr1	162400000	163399999	0.773972
chr1	162600000	163599999	0.775685
chr1	162800000	163799999	0.802492
chr1	163000000	163999999	0.78945
chr1	163200000	164199999	0.874464
chr1	163400000	164399999	0.858904
chr1	163600000	164599999	0.877801
chr1	163800000	164799999	0.849723
chr1	164000000	164999999	0.846505
chr1	164200000	165199999	0.833949
